id	date	tags	likes	dislikes	count_comments	count_views	duration	sec_duration
PlRXYMSdqJA	2020-04-17T17:42:32.000Z	['Ryzen 3', 'zen3', 'zen2', 'am4', 'ryzen 3000', 'ryzen 4000', 'xmg apex 15', 'google custom chipset', 'ryzen 3 3100', 'ryzen 3 3300x', 'Whitechapel']	11464	371	794	94367	PT8M16S	496
v1CceRzmiO4	2020-04-15T13:00:37.000Z	['GeForce GTX 1650 Ti', 'GeForce GTX 1650 Super', 'Ryzen 4800H', '4800H', 'VEGA', 'AMD', 'тест ноутбука', 'TUF', 'tuf gaming', 'FX 706 II', 'A17', 'Ryzen 4000', 'Ryzen']	5602	119	443	62759	PT12M53S	773
U1c-Poax6ng	2020-04-12T09:36:57.000Z	['Spectre', 'Meltdown', 'HPET', 'таймеры', 'тест в играх']	5736	79	609	77482	PT13M59S	839
wyAogr6Zbys	2020-04-07T18:56:15.000Z	['playstation 5', 'ps5', 'intel', 'выбор материнской платы']	9364	230	1051	84735	PT9M3S	543
jWZQfHHcEZ8	2020-04-05T15:48:00.000Z	['Аналог GeForce Now', 'играем удаленно', 'работаем удаленно']	7480	128	624	69984	PT6M4S	364
nBHFhwY5lrM	2020-04-03T08:54:22.000Z	['resident evil 3 remake', 'resident evil 2 remake', 'parasite eve remake', 'vagrant story remake', 'legend of mana remake', 'silent hill remake', 'dino crisis remake']	3710	297	515	37041	PT9M31S	571
kSHBjo4U3CI	2020-04-02T13:00:40.000Z	['4800H', 'VEGA', 'AMD', 'тест ноутбука', 'TUF', 'tuf gaming', 'FX 706 II', 'A17', 'Ryzen 4000', 'Ryzen']	9329	131	803	138750	PT24M18S	1458
wDaAFlTSY68	2020-04-02T07:01:08.000Z	['Core i9-10980HK', 'Core i7-10875H', 'Core i7-10850H', 'Core i7-10750H', 'Core i5-10400H', 'Core i5-10300H']	5469	169	401	62593	PT5M25S	325
t1KciwFTeKA	2020-03-26T15:29:56.000Z	['DDR5', 'DLSS 2.0', 'Xbox Series S']	7051	272	574	76003	PT8M10S	490
0XihR4S0u3g	2020-03-24T09:39:45.000Z	['Motile', 'ноутбук wallmart', 'Surface Book', 'Microsoft']	6926	150	513	108361	PT23M16S	1396
SA-i9OyEeXs	2020-03-22T09:13:35.000Z	['intel', 'ядра', 'core', 'i3-9350kf', 'i5-9600k', 'i7-9700k', 'i9-9900kf', 'сколь кеша', 'сколько ядер', 'кеш', 'cache', 'pro hi-tech', 'прохайтек', 'про хайтек']	10224	139	1206	92967	PT9M24S	564
ztzzkhgHfs4	2020-03-20T15:08:45.000Z	['lenovo thinkbook', 'thinkbook 13s']	4207	251	401	47876	PT12M53S	773
lNwrqVVbfAE	2020-03-19T22:28:50.000Z	['PlayStation 5', 'PS5', 'Xbox Series X', 'Xbox Scarlett', 'Vulkan API', 'RDNA2', 'DirectX 12 Ultimate', 'DX12 Ultimate', 'hellblade 2', 'outride']	9358	430	1099	93937	PT15M58S	958
S-Vii4Ub7yY	2020-03-18T14:32:25.000Z	['AMD Ryzen 5 3600X', 'Sapphire RX 590 Nitro+', 'Patriot Viper VPR100', 'G.Skill TridentZ', 'Fractal Design Define 7', 'Be Quiet! Dark Rock Slim 120', 'Be Quiet! Straight Power 11 850W', 'Сборка ПК']	7518	260	844	59816	PT8M40S	520
zZr-W3qoMwU	2020-03-11T20:11:44.000Z	['nvidia ampere', 'GeForce RTX 3080 Ti', 'GeForce RTX 3070', 'GeForce RTX 3060', 'GeForce RTX 3080', 'Intel Xe', 'AMD B550', 'PlayStation 5', 'новости технологий']	8529	1003	1137	104007	PT9M42S	582
1FYmvDmlyLk	2020-03-10T13:38:17.000Z	['сколько ядер нужно играм', 'какой процессор купить', 'какой процессор выбрать', 'AMD', '3500', '3600', '3700x', '3800x', '3900x', '3950x', 'процессоры', 'игры']	13107	166	1333	140091	PT16M2S	962
pagOqh9i-28	2020-03-09T23:34:42.000Z	['цены на нефть', 'нефть', 'курс валют', 'цены на пк железо', 'уязвимость AMD', 'Take A Way', 'Prime+Probe', 'Load+Reload']	11369	326	1280	137655	PT9M24S	564
2BGy0gj6f5U	2020-03-07T14:15:07.000Z	['RDNA2', 'RDNA3', 'NAVI2X', 'NAVI3X', 'CDNA', 'CDNA2', 'ZEN4', 'X3D', 'AMD Ryzen', 'Financial Analyst Day']	11373	295	793	137181	PT6M15S	375
ZgwsMS9haFI	2020-03-06T13:21:04.000Z	['ноутбуки', 'охлаждение ноутбука', 'zephyrus s', 'zephyrus', 'scar III', 'asus rog zephyrus']	3991	188	586	49689	PT19M47S	1187
ScVb2sYxRzQ	2020-03-03T14:21:17.000Z	['SLI', 'Nvlink', '2080 super sli vs rtx 2080 ti', 'RTX 2080 Super Palit Gaming Pro OC', 'тест видеокарты', 'Palit 2070 Super GP OC']	9088	354	924	101941	PT8M29S	509
rMxhvM3OFYM	2020-03-01T13:01:33.000Z	['pentium', 'athlon', 'i3', '4417u', '7020u', '300u', 'vega3', 'недорогие ноутбуки', 'дешевые ноутбуки', 'тест ноутбуков', 'бюджетные нотбуки']	10230	184	1054	133558	PT17M20S	1040
cfO44d2UAkk	2020-02-29T20:33:34.000Z	['коронавирус', 'nvidia', 'ampere', 'новости', 'технологии', 'COVID-19']	8005	171	432	87569	PT6M42S	402
D7hRNnH-Zh4	2020-02-20T08:18:43.000Z	['скорочтение', 'стас ай как просто', 'анастасия химера-смирнова', 'книги химеры', 'сергей сафонов', 'илья корнейчук', 'алексей макеев', 'onyx boox livingstone']	7070	630	1217	75266	PT29M52S	1792
lIJ1nhMTTIw	2020-02-17T13:00:35.000Z	['MSI Alpha 15', '3750H', 'RX 5500m', 'тест ноутбука', 'AMD', 'NAVI', 'ноутбук']	9275	202	973	140174	PT18M30S	1110
